Date,"Time, ADT",TempC(-30cm),TempC(-250cm),"Water Level, m"
4/13/2012,0:00:00,0.273,2.195,2.64
4/13/2012,1:00:00,0.273,2.195,2.64
4/13/2012,2:00:00,0.246,2.195,2.636
4/13/2012,3:00:00,0.246,2.195,2.636
4/13/2012,4:00:00,0.273,2.195,2.636
4/13/2012,5:00:00,0.246,2.195,2.637
4/13/2012,6:00:00,0.246,2.195,2.634
4/13/2012,7:00:00,0.246,2.195,2.631
4/13/2012,8:00:00,0.246,2.195,2.637
4/13/2012,9:00:00,0.246,2.195,2.643
4/13/2012,10:00:00,0.273,2.195,2.647
4/13/2012,11:00:00,0.246,2.195,2.647
4/13/2012,12:00:00,0.246,2.195,2.645
4/13/2012,13:00:00,0.246,2.195,2.644
4/13/2012,14:00:00,0.246,2.195,2.647
4/13/2012,15:00:00,0.246,2.195,2.646
4/13/2012,16:00:00,0.246,2.195,2.645
4/13/2012,17:00:00,0.246,2.195,2.642
4/13/2012,18:00:00,0.246,2.195,2.644
4/13/2012,19:00:00,0.246,2.195,2.647
4/13/2012,20:00:00,0.246,2.195,2.645
4/13/2012,21:00:00,0.273,2.195,2.643
4/13/2012,22:00:00,0.246,2.195,2.644
4/13/2012,23:00:00,0.246,2.195,2.639
4/14/2012,0:00:00,0.273,2.303,2.641
4/14/2012,1:00:00,0.246,2.303,2.636
4/14/2012,2:00:00,0.246,2.303,2.636
4/14/2012,3:00:00,0.246,2.303,2.635
4/14/2012,4:00:00,0.273,2.303,2.632
4/14/2012,5:00:00,0.218,2.303,2.632
4/14/2012,6:00:00,0.246,2.303,2.633
4/14/2012,7:00:00,0.246,2.303,2.634
4/14/2012,8:00:00,0.246,2.41,2.638
4/14/2012,9:00:00,0.246,2.41,2.646
4/14/2012,10:00:00,0.246,2.41,2.645
4/14/2012,11:00:00,0.246,2.41,2.648
4/14/2012,12:00:00,0.246,2.41,2.648
4/14/2012,13:00:00,0.246,2.41,2.649
4/14/2012,14:00:00,0.246,2.41,2.646
4/14/2012,15:00:00,0.246,2.41,2.646
4/14/2012,16:00:00,0.246,2.41,2.649
4/14/2012,17:00:00,0.246,2.41,2.644
4/14/2012,18:00:00,0.246,2.41,2.643
4/14/2012,19:00:00,0.246,2.41,2.643
4/14/2012,20:00:00,0.246,2.41,2.644
4/14/2012,21:00:00,0.246,2.41,2.645
4/14/2012,22:00:00,0.246,2.41,2.646
4/14/2012,23:00:00,0.218,2.41,2.644
4/15/2012,0:00:00,0.246,2.41,2.64
4/15/2012,1:00:00,0.246,2.41,2.643
4/15/2012,2:00:00,0.246,2.517,2.641
4/15/2012,3:00:00,0.246,2.517,2.641
4/15/2012,4:00:00,0.246,2.517,2.641
4/15/2012,5:00:00,0.246,2.517,2.641
4/15/2012,6:00:00,0.246,2.517,2.641
4/15/2012,7:00:00,0.246,2.517,2.645
4/15/2012,8:00:00,0.246,2.517,2.644
4/15/2012,9:00:00,0.218,2.517,2.646
4/15/2012,10:00:00,0.246,2.517,2.646
4/15/2012,11:00:00,0.246,2.517,2.648
4/15/2012,12:00:00,0.246,2.517,2.646
4/15/2012,13:00:00,0.246,2.517,2.649
4/15/2012,14:00:00,0.246,2.517,2.648
4/15/2012,15:00:00,0.246,2.517,2.646
4/15/2012,16:00:00,0.246,2.517,2.643
4/15/2012,17:00:00,0.218,2.517,2.647
4/15/2012,18:00:00,0.246,2.517,2.644
4/15/2012,19:00:00,0.246,2.517,2.649
4/15/2012,20:00:00,0.246,2.517,2.646
4/15/2012,21:00:00,0.246,2.517,2.645
4/15/2012,22:00:00,0.246,2.517,2.647
4/15/2012,23:00:00,0.246,2.517,2.648
4/16/2012,0:00:00,0.246,2.517,2.646
4/16/2012,1:00:00,0.218,2.517,2.648
4/16/2012,2:00:00,0.246,2.517,2.648
4/16/2012,3:00:00,0.218,2.517,2.651
4/16/2012,4:00:00,0.246,2.517,2.649
4/16/2012,5:00:00,0.218,2.517,2.645
4/16/2012,6:00:00,0.246,2.517,2.648
4/16/2012,7:00:00,0.218,2.517,2.648
4/16/2012,8:00:00,0.218,2.517,2.648
4/16/2012,9:00:00,0.246,2.517,2.647
4/16/2012,10:00:00,0.218,2.517,2.649
4/16/2012,11:00:00,0.218,2.517,2.647
4/16/2012,12:00:00,0.246,2.517,2.648
4/16/2012,13:00:00,0.218,2.517,2.648
4/16/2012,14:00:00,0.246,2.517,2.647
4/16/2012,15:00:00,0.246,2.517,2.647
4/16/2012,16:00:00,0.218,2.517,2.645
4/16/2012,17:00:00,0.246,2.517,2.649
4/16/2012,18:00:00,0.246,2.517,2.647
4/16/2012,19:00:00,0.246,2.517,2.646
4/16/2012,20:00:00,0.246,2.517,2.648
4/16/2012,21:00:00,0.218,2.517,2.648
4/16/2012,22:00:00,0.218,2.517,2.645
4/16/2012,23:00:00,0.218,2.517,2.65
4/17/2012,0:00:00,0.218,2.517,2.648
4/17/2012,1:00:00,0.218,2.517,2.644
4/17/2012,2:00:00,0.246,2.517,2.646
4/17/2012,3:00:00,0.218,2.517,2.644
4/17/2012,4:00:00,0.218,2.517,2.646
4/17/2012,5:00:00,0.218,2.517,2.646
4/17/2012,6:00:00,0.218,2.517,2.646
4/17/2012,7:00:00,0.246,2.517,2.646
4/17/2012,8:00:00,0.218,2.517,2.645
4/17/2012,9:00:00,0.246,2.517,2.65
4/17/2012,10:00:00,0.246,2.517,2.648
4/17/2012,11:00:00,0.218,2.517,2.647
4/17/2012,12:00:00,0.246,2.517,2.646
4/17/2012,13:00:00,0.218,2.517,2.648
4/17/2012,14:00:00,0.218,2.517,2.647
4/17/2012,15:00:00,0.218,2.517,2.649
4/17/2012,16:00:00,0.218,2.517,2.646
4/17/2012,17:00:00,0.218,2.517,2.647
4/17/2012,18:00:00,0.218,2.517,2.65
4/17/2012,19:00:00,0.218,2.517,2.647
4/17/2012,20:00:00,0.218,2.517,2.647
4/17/2012,21:00:00,0.218,2.517,2.65
4/17/2012,22:00:00,0.218,2.517,2.65
4/17/2012,23:00:00,0.218,2.517,2.651
4/18/2012,0:00:00,0.218,2.517,2.65
4/18/2012,1:00:00,0.218,2.517,2.651
4/18/2012,2:00:00,0.19,2.517,2.652
4/18/2012,3:00:00,0.218,2.517,2.649
4/18/2012,4:00:00,0.218,2.517,2.651
4/18/2012,5:00:00,0.218,2.517,2.651
4/18/2012,6:00:00,0.218,2.517,2.653
4/18/2012,7:00:00,0.19,2.517,2.649
4/18/2012,8:00:00,0.218,2.517,2.653
4/18/2012,9:00:00,0.218,2.517,2.652
4/18/2012,10:00:00,0.218,2.517,2.652
4/18/2012,11:00:00,0.218,2.517,2.651
4/18/2012,12:00:00,0.218,2.517,2.649
4/18/2012,13:00:00,0.218,2.517,2.653
4/18/2012,14:00:00,0.218,2.517,2.651
4/18/2012,15:00:00,0.218,2.517,2.65
4/18/2012,16:00:00,0.218,2.517,2.647
4/18/2012,17:00:00,0.218,2.517,2.65
4/18/2012,18:00:00,0.218,2.517,2.65
4/18/2012,19:00:00,0.218,2.517,2.65
4/18/2012,20:00:00,0.218,2.517,2.65
4/18/2012,21:00:00,0.218,2.517,2.652
4/18/2012,22:00:00,0.218,2.517,2.652
4/18/2012,23:00:00,0.218,2.517,2.651
4/19/2012,0:00:00,0.218,2.517,2.648
4/19/2012,1:00:00,0.218,2.517,2.65
4/19/2012,2:00:00,0.218,2.517,2.65
4/19/2012,3:00:00,0.19,2.517,2.652
4/19/2012,4:00:00,0.218,2.517,2.648
4/19/2012,5:00:00,0.19,2.517,2.649
4/19/2012,6:00:00,0.19,2.517,2.65
4/19/2012,7:00:00,0.19,2.517,2.651
4/19/2012,8:00:00,0.19,2.517,2.65
4/19/2012,9:00:00,0.19,2.517,2.652
4/19/2012,10:00:00,0.218,2.517,2.652
4/19/2012,11:00:00,0.218,2.517,2.65
4/19/2012,12:00:00,0.19,2.517,2.648
4/19/2012,13:00:00,0.19,2.517,2.651
4/19/2012,14:00:00,0.218,2.517,2.648
4/19/2012,15:00:00,0.19,2.517,2.651
4/19/2012,16:00:00,0.218,2.517,2.649
4/19/2012,17:00:00,0.19,2.517,2.649
4/19/2012,18:00:00,0.19,2.517,2.65
4/19/2012,19:00:00,0.218,2.517,2.651
4/19/2012,20:00:00,0.19,2.517,2.648
4/19/2012,21:00:00,0.19,2.517,2.649
4/19/2012,22:00:00,0.218,2.517,2.65
4/19/2012,23:00:00,0.218,2.517,2.648
4/20/2012,0:00:00,0.19,2.517,2.648
4/20/2012,1:00:00,0.19,2.517,2.646
4/20/2012,2:00:00,0.19,2.517,2.649
4/20/2012,3:00:00,0.19,2.517,2.649
4/20/2012,4:00:00,0.19,2.517,2.647
4/20/2012,5:00:00,0.19,2.517,2.648
4/20/2012,6:00:00,0.19,2.517,2.647
4/20/2012,7:00:00,0.19,2.517,2.648
4/20/2012,8:00:00,0.19,2.517,2.648
4/20/2012,9:00:00,0.19,2.517,2.65
4/20/2012,10:00:00,0.19,2.517,2.651
4/20/2012,11:00:00,0.19,2.517,2.649
4/20/2012,12:00:00,0.19,2.517,2.652
4/20/2012,13:00:00,0.19,2.517,2.653
4/20/2012,14:00:00,0.19,2.517,2.654
4/20/2012,15:00:00,0.19,2.517,2.651
4/20/2012,16:00:00,0.19,2.517,2.65
4/20/2012,17:00:00,0.19,2.517,2.648
4/20/2012,18:00:00,0.19,2.517,2.652
4/20/2012,19:00:00,0.19,2.517,2.646
4/20/2012,20:00:00,0.19,2.517,2.651
4/20/2012,21:00:00,0.19,2.517,2.654
4/20/2012,22:00:00,0.19,2.517,2.651
4/20/2012,23:00:00,0.19,2.517,2.65
4/21/2012,0:00:00,0.19,2.517,2.648
4/21/2012,1:00:00,0.19,2.517,2.646
4/21/2012,2:00:00,0.19,2.517,2.646
4/21/2012,3:00:00,0.19,2.517,2.647
4/21/2012,4:00:00,0.19,2.517,2.649
4/21/2012,5:00:00,0.19,2.517,2.647
4/21/2012,6:00:00,0.19,2.517,2.648
4/21/2012,7:00:00,0.19,2.517,2.648
4/21/2012,8:00:00,0.19,2.517,2.651
4/21/2012,9:00:00,0.19,2.517,2.652
4/21/2012,10:00:00,0.19,2.517,2.652
4/21/2012,11:00:00,0.19,2.517,2.657
4/21/2012,12:00:00,0.19,2.517,2.651
4/21/2012,13:00:00,0.19,2.517,2.655
4/21/2012,14:00:00,0.19,2.517,2.655
4/21/2012,15:00:00,0.19,2.517,2.652
4/21/2012,16:00:00,0.19,2.517,2.654
4/21/2012,17:00:00,0.19,2.517,2.65
4/21/2012,18:00:00,0.19,2.517,2.654
4/21/2012,19:00:00,0.19,2.517,2.654
4/21/2012,20:00:00,0.19,2.517,2.652
4/21/2012,21:00:00,0.19,2.517,2.65
4/21/2012,22:00:00,0.19,2.517,2.654
