,,WTS-28,WP12-28,,,,,,,,Cond-3,,DOX-3,
Date,"Time, AST","TempC, 30cm","Abs Pres, kPa","TempC, 250cm","Pressure Barom., mbar","Sensor Depth, m",,,Date,"Time, AST","Full Range, ?S/cm","Temp, °C","DO conc, mg/L","Temp, °C"
8/12/2012,0:00:00,9.262,128.197,9.768,,,,,8/12/2012,0:00:00,45.7,9.37,-0.03,9.68
8/12/2012,1:00:00,9.188,128.213,9.768,,,,,8/12/2012,12:00:00,58.9,9.36,-0.03,9.66
8/12/2012,2:00:00,9.114,128.181,9.768,,,,,8/13/2012,0:00:00,72.2,9.61,-0.03,9.64
8/12/2012,3:00:00,9.064,128.165,9.768,,,,,8/13/2012,12:00:00,83.5,9.72,-0.03,9.68
8/12/2012,4:00:00,9.04,128.149,9.768,,,,,8/14/2012,0:00:00,100.2,10.15,-0.04,9.86
8/12/2012,5:00:00,9.015,128.117,9.768,,,,,8/14/2012,12:00:00,114.6,10.37,-0.04,10.02
8/12/2012,6:00:00,8.965,128.085,9.768,,,,,8/15/2012,0:00:00,129.1,10.66,-0.04,10.18
8/12/2012,7:00:00,8.965,128.053,9.768,,,,,8/15/2012,12:00:00,142,10.77,-0.04,10.3
8/12/2012,8:00:00,9.015,128.037,9.768,,,,,8/16/2012,0:00:00,193.7,11.67,-0.03,12.02
8/12/2012,9:00:00,9.163,128.053,9.768,,,,,8/16/2012,12:00:00,243.5,11.6,-0.03,11.9
8/12/2012,10:00:00,9.238,128.021,9.768,,,,,8/17/2012,0:00:00,264.1,11.77,-0.03,11.98
8/12/2012,11:00:00,9.312,128.021,9.768,,,,,8/17/2012,12:00:00,280.5,11.65,-0.03,11.88
8/12/2012,12:00:00,9.435,127.973,9.768,,,,,8/18/2012,0:00:00,280.8,11.79,-0.03,12.06
8/12/2012,13:00:00,9.608,127.941,9.768,,,,,8/18/2012,12:00:00,286,11.73,-0.03,11.92
8/12/2012,14:00:00,9.731,127.909,9.768,,,,,8/19/2012,0:00:00,291.9,12.15,-0.03,12.34
8/12/2012,15:00:00,10.124,127.842,9.669,,,,,8/19/2012,12:00:00,295.5,12.1,-0.03,12.26
8/12/2012,16:00:00,10.32,127.81,9.669,,,,,8/20/2012,0:00:00,298.6,12.35,-0.03,12.5
8/12/2012,17:00:00,10.541,127.762,9.669,,,,,8/20/2012,12:00:00,298.6,12.3,-0.03,12.46
8/12/2012,18:00:00,10.712,127.714,9.669,,,,,8/21/2012,0:00:00,291.8,12.37,-0.03,12.64
8/12/2012,19:00:00,10.81,127.698,9.669,,,,,8/21/2012,12:00:00,284.3,12.13,-0.03,12.26
8/12/2012,20:00:00,10.932,127.682,9.669,,,,,8/22/2012,0:00:00,283.6,11.86,-0.03,12
8/12/2012,21:00:00,10.907,127.666,9.669,,,,,8/22/2012,12:00:00,277.7,11.52,-0.03,11.7
8/12/2012,22:00:00,10.761,127.666,9.669,,,,,8/23/2012,0:00:00,276.5,11.74,-0.03,11.88
8/12/2012,23:00:00,10.736,127.666,9.669,,,,,8/23/2012,12:00:00,278.9,11.69,-0.03,11.82
8/13/2012,0:00:00,10.785,127.634,9.669,,,,,8/24/2012,0:00:00,285.1,12.14,-0.04,12.22
8/13/2012,1:00:00,10.565,127.618,9.669,,,,,8/24/2012,12:00:00,290.3,12.08,-0.03,12.16
8/13/2012,2:00:00,10.541,127.602,9.669,,,,,8/25/2012,0:00:00,296.7,12.1,-0.03,12.2
8/13/2012,3:00:00,10.467,127.586,9.669,,,,,8/25/2012,12:00:00,288,11.72,-0.03,11.88
8/13/2012,4:00:00,10.467,127.57,9.669,,,,,8/26/2012,0:00:00,260.7,11.39,-0.03,11.54
8/13/2012,5:00:00,10.443,127.522,9.669,,,,,8/26/2012,12:00:00,276.8,10.56,-0.03,10.68
8/13/2012,6:00:00,10.369,127.506,9.669,,,,,8/27/2012,0:00:00,280.9,10.13,-0.03,10.32
8/13/2012,7:00:00,10.418,127.49,9.669,,,,,8/27/2012,12:00:00,281.8,9.88,-0.03,10
