,,WTS-12,WP12-12,,
Date,"Time, AST","TempC, 30cm","TempC, 325cm","Pressure Barom., mbar","Sensor Depth, m"
4/11/2014,10:00:00,0.797,1.003,1023.55,3.218
4/11/2014,11:00:00,0.797,2.088,1023.45,3.222
4/11/2014,12:00:00,0.797,1.98,1023.15,3.23
4/11/2014,13:00:00,0.797,1.98,1022.95,3.234
4/11/2014,14:00:00,0.797,2.195,1022.55,3.235
4/11/2014,15:00:00,0.797,2.303,1022.15,3.238
4/11/2014,16:00:00,0.797,2.41,1021.65,3.237
4/11/2014,17:00:00,0.797,2.517,1021.15,3.236
4/11/2014,18:00:00,0.797,2.624,1021.05,3.236
4/11/2014,19:00:00,0.797,2.73,1020.95,3.235
4/11/2014,20:00:00,0.77,2.837,1020.85,3.234
4/11/2014,21:00:00,0.797,2.837,1020.55,3.232
4/11/2014,22:00:00,0.797,2.943,1020.95,3.228
4/11/2014,23:00:00,0.825,2.943,1021.15,3.225
4/12/2014,0:00:00,0.797,2.943,1020.85,3.224
4/12/2014,1:00:00,0.825,3.049,1020.85,3.223
4/12/2014,2:00:00,0.797,3.049,1020.55,3.223
4/12/2014,3:00:00,0.77,3.049,1020.15,3.222
4/12/2014,4:00:00,0.797,3.155,1019.75,3.22
4/12/2014,5:00:00,0.797,3.155,1019.05,3.221
4/12/2014,6:00:00,0.797,3.155,1018.45,3.222
4/12/2014,7:00:00,0.797,3.155,1018.05,3.223
4/12/2014,8:00:00,0.797,3.155,1017.05,3.227
4/12/2014,9:00:00,0.797,3.155,1015.95,3.232
4/12/2014,10:00:00,0.825,3.261,1015.05,3.235
4/12/2014,11:00:00,0.77,3.261,1014.35,3.24
4/12/2014,12:00:00,0.797,3.261,1013.85,3.244
4/12/2014,13:00:00,0.77,3.261,1013.15,3.243
4/12/2014,14:00:00,0.797,3.261,1012.35,3.246
4/12/2014,15:00:00,0.797,3.261,1011.65,3.246
4/12/2014,16:00:00,0.77,3.261,1010.95,3.246
4/12/2014,17:00:00,0.797,3.261,1010.55,3.246
4/12/2014,18:00:00,0.77,3.367,1009.95,3.246
4/12/2014,19:00:00,0.825,3.367,1009.75,3.246
4/12/2014,20:00:00,0.797,3.367,1009.65,3.246
4/12/2014,21:00:00,0.797,3.367,1009.95,3.242
4/12/2014,22:00:00,0.825,3.367,1009.95,3.241
4/12/2014,23:00:00,0.77,3.367,1009.95,3.241
4/13/2014,0:00:00,0.77,3.367,1009.75,3.238
4/13/2014,1:00:00,0.797,3.367,1009.95,3.239
4/13/2014,2:00:00,0.77,3.367,1009.95,3.241
4/13/2014,3:00:00,0.797,3.367,1010.05,3.238
4/13/2014,4:00:00,0.797,3.367,1010.05,3.237
4/13/2014,5:00:00,0.77,3.367,1010.05,3.237
4/13/2014,6:00:00,0.825,3.367,1010.05,3.237
4/13/2014,7:00:00,0.77,3.367,1009.75,3.24
4/13/2014,8:00:00,0.742,3.367,1009.55,3.242
4/13/2014,9:00:00,0.825,3.367,1009.25,3.245
4/13/2014,10:00:00,0.77,3.367,1008.85,3.246
4/13/2014,11:00:00,0.797,3.367,1008.55,3.247
4/13/2014,12:00:00,0.797,3.367,1008.05,3.247
4/13/2014,13:00:00,0.742,3.367,1007.55,3.248
4/13/2014,14:00:00,0.797,3.367,1007.05,3.25
4/13/2014,15:00:00,0.797,3.367,1006.45,3.251
4/13/2014,16:00:00,0.77,3.367,1006.05,3.25
4/13/2014,17:00:00,0.77,3.367,1005.75,3.25
4/13/2014,18:00:00,0.797,3.367,1005.55,3.249
4/13/2014,19:00:00,0.77,3.472,1005.25,3.249
4/13/2014,20:00:00,0.77,3.472,1005.25,3.249
4/13/2014,21:00:00,0.77,3.472,1005.05,3.248
4/13/2014,22:00:00,0.77,3.472,1004.85,3.248
4/13/2014,23:00:00,0.77,3.472,1004.85,3.247
4/14/2014,0:00:00,0.77,3.472,1004.75,3.251
4/14/2014,1:00:00,0.77,3.472,1004.75,3.251
4/14/2014,2:00:00,0.77,3.472,1004.85,3.252
4/14/2014,3:00:00,0.77,3.472,1005.05,3.251
4/14/2014,4:00:00,0.77,3.472,1004.95,3.252
4/14/2014,5:00:00,0.742,3.472,1005.05,3.251
4/14/2014,6:00:00,0.77,3.472,1005.05,3.251
4/14/2014,7:00:00,0.77,3.472,1005.05,3.251
4/14/2014,8:00:00,0.77,3.472,1005.15,3.25
4/14/2014,9:00:00,0.742,3.472,1005.15,3.253
4/14/2014,10:00:00,0.77,3.472,1005.15,3.252
4/14/2014,11:00:00,0.742,3.472,1005.25,3.254
