,,WTS-28,WP12-28,,,,Float,,,,,Cond-3,,,
Date,"Time, AST","TempC, 30cm","TempC, 325cm","Pressure Barom., mbar","Sensor Depth, meters",,Date,"Time, AST",TempC,RH%,,Date,"Time, GMT-05:00","Full Range, ?S/cm","Temp, °C"
8/16/2014,13:00:00,,,,,,8/16/2014,13:00:00,,,,8/17/2014,0:00:00,8.98,6.96
8/16/2014,14:00:00,,,,,,8/16/2014,14:00:00,6.331,89.998,,8/17/2014,12:00:00,8.97,7.15
8/16/2014,15:00:00,,,,,,8/16/2014,15:00:00,6.458,90.438,,8/18/2014,0:00:00,9.35,8.17
8/16/2014,16:00:00,,,,,,8/16/2014,16:00:00,7.519,87.281,,8/18/2014,12:00:00,10.1,9.33
8/16/2014,17:00:00,6.153,6.268,997.95,2.48,,8/16/2014,17:00:00,6.661,95.001,,8/19/2014,0:00:00,10.1,9.22
8/16/2014,18:00:00,6.128,6.166,997.55,2.484,,8/16/2014,18:00:00,7.87,95.726,,8/19/2014,12:00:00,10.11,9.17
8/16/2014,19:00:00,6.331,6.37,997.25,2.487,,8/16/2014,19:00:00,8.444,95.63,,8/20/2014,0:00:00,10.1,9.6
8/16/2014,20:00:00,6.636,6.674,997.15,2.489,,8/16/2014,20:00:00,8.717,95.428,,8/20/2014,12:00:00,10.1,9.71
8/16/2014,21:00:00,6.661,6.674,997.25,2.486,,8/16/2014,21:00:00,7.87,95.825,,8/21/2014,0:00:00,10.47,10.59
8/16/2014,22:00:00,6.382,6.471,997.15,2.487,,8/16/2014,22:00:00,7.569,96.59,,8/21/2014,12:00:00,10.86,10.56
8/16/2014,23:00:00,6.433,6.573,997.15,2.489,,8/16/2014,23:00:00,6.204,97.792,,8/22/2014,0:00:00,10.85,10.81
8/17/2014,0:00:00,6.433,6.573,997.15,2.489,,8/17/2014,0:00:00,6.763,97.947,,8/22/2014,12:00:00,10.47,10.73
8/17/2014,1:00:00,6.484,6.573,997.25,2.489,,8/17/2014,1:00:00,7.393,98.049,,8/23/2014,0:00:00,10.84,11.67
